frocio,terrone,mongoloide,troia,rabbino,terrorista
froci,terroni,mongoloidi,troie,rabbini,terroristi
pervertito,zingaro,spastico,puttana,usurario,jihadista
pervertiti,zingari,spastici,puttane,usurari,jihadisti
checcha,negro,cerebroleso,zoccola,giudeo,beduino
checche,negri,cerebrolesi,zoccole,giudei,beduini
finocchio,muso giallo,handicappato,vacca,ebreo,tagliagole
finocchi,musi gialli,handicappati,vacche,ebrei,
pompinaro,rumeno,storpio,cicciona,cazzo mozzo,abdullah
pompinari,rumeni,storpi,ciccione,,
culattone,albanese,mongoflettico,mignotta,strozzino,marocchino
culattoni,albanesi,mongoflettici,mignotte,strozzini,marocchini
bocchinaro,muso da scimmia,nano,bagascia,ebrei ai forni,vu cumprà
bocchinari,musi da scimmia,nani,bagasce,,
rottinculo,bangla,zoppo,bocchinara,sionista,
rottinculi,,zoppi,bocchinare,sionisti,
culanda,mangia rane,quattrocchi,strappona,,
,,,strappone,,
leccafiche,kebabbaro,cecato,ciuccia cazzi,,
,kebabbari,cecati,ciuccia cazzi,,
ricchione,crucco,ritardato,smandrappona,,
ricchioni,crucchi,ritardati,smandrappone,,
invertito,rabbino,demente,pompinara,,
invertiti,rabbini,dementi,pompinare,,
piglianculo,sbarcato,down,cagna,,
,sbarcati,,cagne,,
ciuccia cazzi,mangia banane,,frigida,,
passiva,,,figa di legno,,
,,,fighe di legno,,
deviato,,,battona,,
deviati,,,battone,,
camionista,,,cesso,,
camionisti,,,cessi,,
