frocio,terrone,mongoloide,troia,usurario,beduino
froci,terroni,mongoloidi,troie,usurai,beduini
pervertito,zingaro,spastico,puttana,giudeo,abdullah
pervertiti,zingari,spastici,puttane,giudei,,
checca,negro,cerebroleso,zoccola,cazzo mozzo,vu cumprà
checche,negri,cerebrolesi,zoccole,,
finocchio,muso giallo,handicappato,vacca,strozzino,popoli barbari
finocchi,musi gialli,handicappati,vacche,strozzini,,
pompinaro,muso da scimmia,storpio,cicciona,ebrei ai forni,
pompinari,musi da scimmia,storpi,ciccione,ebreo ai forni
culattone,bangla,mongoflettico,mignotta,sionista,
culattoni,,mongoflettici,mignotte,sionisti
bocchinaro,mangia rane,nano,bagascia,,
bocchinari,,nani,bagasce,,
rottinculo,kebabbaro,cecato,bocchinara,,
rottinculi,kebabbari,cecati,,,
culanda,crucco,demente,strappona,,
,crucchi,dementi,strappone,,
leccafiche,,subnormale,ciuccia cazzi,,
ricchione,mangia banane,arteriosclerotico,smandrappona,,
ricchioni,,arteriosclerotici,smandrappone,,
piglianculo,nigga,ebete,pompinara,,
,niggas,ebeti,pompinare,,
ciuccia cazzi,nigger,ritardato mentale,cagna,,
,niggers,ritardati mentali,cagne,,
passiva,zulù,,frigida,,
deviato,mestizo,,figa di legno,,
,polentone,,battona,,
,polentoni,,battone,,
,terroni,,sciacquetta,,
,terronia,,puttana crepa,,
,shari'a,,sgualdrinetta,,
,islam,,donna di facili costumi,,
,sharia ,,fornicatrice,,
,islamista ,,donna di strada,,
,islamisti,,zambracca,,
,negriera,,sgualdrina,,
,negrieri,,meretrice,,
,negroide,,meretrici,,
,negroidi,,sgualdrine,,
,feccia,,fregna,,
,,,sorca,,
